stop_name,stop_lat,stop_lng
"Hostivice,Ve vilkách",50.083229,14.232167
"Hostivice,stadion",50.080859,14.24922
Hostouň,50.11665,14.201533
"Hostouň,Na Pohoří",50.114252,14.201916
"Hostouň,u hřiště",50.110939,14.2036
Hostín u Vojkovic,50.29612,14.39534
Hostýnská,50.081192,14.495524
Hotel Golf,50.068066,14.346724
Hovorčovice,50.182387,14.51638
"Hovorčovice,U Kostela",50.179384,14.517682
Hořany,50.097565,14.945793
Hořín,50.344572,14.462578
"Hořín,Brozánky",50.3494,14.459408
"Hořín,Vrbno",50.324682,14.451424
"Hořín,Zelčín",50.325598,14.439789
Hradební,50.090696,14.427096
Hradešín,50.037951,14.759805
"Hradešín,ObÚ",50.038854,14.755634
"Hradešín,sklady Marca",50.041281,14.76182
Hradištko,50.166238,14.936682
"Hradištko,Brunšov",49.8558,14.402818
"Hradištko,Kersko,Branaldova",50.160872,14.911776
"Hradištko,Kersko,Hrabalova",50.158876,14.902887
"Hradištko,Kersko,U pramene",50.15409,14.909922
"Hradištko,Kersko,hl.sil.",50.138368,14.904881
"Hradištko,Pikovice,Pod Medníkem",49.873329,14.432339
"Hradištko,Pikovice,most",49.877054,14.427393
"Hradištko,Pikovice,obec",49.874714,14.427073
"Hradištko,Rajchardov",49.861958,14.406356
"Hradištko,chaty",50.161807,14.926895
"Hradištko,osada",49.868391,14.420701
"Hradištko,u rybníčku",49.86495,14.411021
"Hradištko,zámek",49.8677,14.409894
Hradčanská,50.097472,14.404198
Hrazanská,49.977811,14.439548
Hrdlořezská,50.09369,14.509478
Hrnčíře,49.997886,14.517418
Hrnčířský hřbitov,50.00247,14.516358
Hrusice,49.909691,14.738604
"Hrusice,Na Šmejkalce",49.903126,14.744519
"Hrusice,Vlčí halíř",49.921021,14.738589
Hulická,50.077676,14.660109
Huntířovská,50.12926,14.543924
"Husinec,Rozc.",50.175422,14.372039
"Husinec,Samota",50.1793,14.390863
"Husinec,Řež",50.170634,14.360162
"Husinec,Řež,Sídliště",50.172444,14.36189
"Husinec,Řež,Záv.",50.177168,14.358366
Husinecká,50.085011,14.444924
Hutmanka,50.056853,14.369462
Hutě,50.10863,14.557474
Hvozdnice,49.875528,14.365423
"Hvozdnice,chaty",49.868414,14.361572
Hybšmanka,50.077934,14.3812
Hydrologický ústav,50.11603,14.392626
Háje,50.030605,14.526949
Hájek,50.050102,14.628106
Hájová,50.017434,14.652708
Högerova,50.034376,14.380958
Hřebenka,50.075085,14.390111
Hříbková,50.02051,14.580191
Hůrka,50.049691,14.341811
I. P. Pavlova,50.075173,14.430627
IKEA Černý Most,50.10555,14.588187
IKEM,50.021701,14.462349
Internacionální,50.135862,14.380328
Invalidovna,50.097668,14.464944
Italská,50.078144,14.436264
Jahodnice,50.087527,14.557923
Jahodnice II,50.087166,14.556854
Jakobiho,50.03325,14.559559
Jalodvorská,50.013667,14.457424
Jana Masaryka,50.073292,14.441084
Jankovcova,50.109522,14.444442
Janovská,50.040784,14.5669
Jarníkova,50.026647,14.494116
Jedličkův ústav,50.060133,14.427017
Jemnická,50.049411,14.459079
Jenerálka,50.10763,14.35366
Jeneč,50.087284,14.216109
"Jeneč,Lidická",50.089394,14.214395
"Jeneč,komerční zóna",50.09263,14.206404
"Jeneč,nádraží",50.093838,14.212573
Jenštejn,50.153003,14.6126
"Jenštejn,Dehtáry",50.142849,14.633617
"Jenštejn,Domov seniorů",50.154297,14.600746
"Jenštejn,Hradní",50.149834,14.618769
Jesenice,49.967956,14.514296
"Jesenice,Belnická",49.969311,14.528501
"Jesenice,Horní Jirčany",49.952211,14.537554
"Jesenice,Horní Jirčany,vodárna",49.946311,14.543144
"Jesenice,Kocanda",49.971068,14.54183
"Jesenice,Osnice",49.969866,14.551534
"Jesenice,Osnice,hřbitov",49.973769,14.54948
"Jesenice,Zdiměřice,Sportovní areál",49.987861,14.521592
"Jesenice,Zdiměřice,bytovky",49.98338,14.525436
"Jesenice,Zdiměřice,u rybníka",49.978703,14.531858
"Jesenice,Zdiměřice,škola",49.974965,14.536134
"Jesenice,bytovky",49.970304,14.508006
Jesenická,50.057206,14.493588
Jevany,49.969636,14.809633
"Jevany,Bohumil",49.977721,14.83941
"Jevany,Lesní podnik",49.977898,14.829168
"Jevany,Penčice",49.958206,14.820955
"Jevany,Smrčiny",49.983487,14.837336
"Jevany,Spojovací",49.975126,14.795435
"Jevany,Černokostelecká",49.971343,14.816932
Jeviněves,50.344982,14.338091
Jezerka,50.057343,14.443049
Jeřická,50.108401,14.609233
Ježovická,50.069688,14.649827
Jindřišská,50.085232,14.430548
Jinonice,50.054385,14.370363
Jinonická,50.069384,14.377516
"Jinočany,Hlavní",50.03151,14.272345
"Jinočany,Nádraží",50.029383,14.263105
"Jinočany,náměstí",50.032692,14.267773
"Jinočany,Žižkova",50.035736,14.263441
Jirny,50.115784,14.698554
"Jirny,DHL",50.121902,14.686187
"Jirny,Logistický park",50.125138,14.690419
"Jirny,Nové Jirny,I",50.103717,14.709012
"Jirny,Nové Jirny,II",50.101729,14.711096
"Jirny,Rozc.",50.126368,14.698862
"Jirny,Zámek",50.114762,14.690936
Jiráskova čtvrť,50.094064,14.546152
Jiráskovo náměstí,50.07601,14.413912
Jirčanská,50.005979,14.45903
Jitřní,50.024482,14.413055
Jiviny,50.077399,14.303804
Jiřice,50.252181,14.833257
Jiřího z Poděbrad,50.077453,14.450164
Jižní Město,50.034378,14.537988
Jordánská,50.11104,14.562792
Juliska,50.110418,14.386058
Jíloviště,49.927826,14.343062
"Jíloviště,Cukrák",49.93485,14.35691
"Jíloviště,U Mostu",49.925696,14.338455
"Jíloviště,Výzkumný ústav",49.942546,14.392229
"Jíloviště,hl.sil.",49.928903,14.342452
Jílovská,50.026634,14.430115
"Jílové u Prahy,Borek",49.879305,14.500024
"Jílové u Prahy,Kamenná Vrata",49.899694,14.46848
"Jílové u Prahy,Luka p.M.,nádraží",49.866273,14.462121
"Jílové u Prahy,Luka p.Medníkem",49.872631,14.467047
"Jílové u Prahy,Pražská",49.898581,14.493902
"Jílové u Prahy,Radlík",49.907355,14.491939
"Jílové u Prahy,Studené,obec",49.886826,14.47649
"Jílové u Prahy,Studené,závod",49.883159,14.481008
"Jílové u Prahy,hřbitov",49.895642,14.478304
"Jílové u Prahy,náměstí",49.895037,14.493079
"Jílové u Prahy,rozc.Radlík",49.91261,14.499264
"Jílové u Prahy,učiliště",49.8974,14.485354
"Jílové u Prahy,Čs.armády",49.89527,14.498754
K Austisu,50.021181,14.341136
K Barrandovu,50.035278,14.383077
K Chatám,49.94793,14.375293
K Cikánce,49.997624,14.341733
K Drsnici,50.142681,14.384612
K Dubečku,50.055326,14.5644
K Fialce,50.05572,14.329456
K Holyni,50.020442,14.359458
K Horoměřicům,50.132312,14.368738
K Hájům,50.055094,14.325163
K Lesoparku,50.049892,14.538553
K Letišti,50.095559,14.293464
K Letňanům,50.143874,14.48425
K Lipanům,50.015918,14.606474
K Netlukám,50.033174,14.609338
K Noskovně,50.11145,14.325091
K Obecním hájovnám,50.043243,14.516292
K Pitkovičkám,50.024692,14.590791
K Sukovu,50.012338,14.546776
K Teplárně,50.168802,14.521184
K Trninám,50.068618,14.311082
K Tuchoměřicům,50.115992,14.291383
K Třebonicům,50.036561,14.29788
K Vystrkovu,49.999559,14.410124
K Zelenči,50.123289,14.623969
K Říčanům,50.015306,14.632225
K Žižkovu,50.099493,14.49625
Kabešova,50.102392,14.508166
Kablo,50.062166,14.537572
Kafkova,50.098255,14.395538
Kajetánka,50.086504,14.371594
Kalinův mlýn,50.111084,14.368006
Kaliště,49.882188,14.774233
"Kaliště,Lensedly",49.894351,14.753729
"Kaliště,Poddubí",49.873879,14.761153
"Kaliště,V Loučkách",49.87742,14.761156
"Kamenice,Kuklík",49.890715,14.622984
"Kamenice,Kult.dům",49.90408,14.586779
"Kamenice,Ládví",49.89448,14.613794
"Kamenice,Nová Hospoda",49.910366,14.584324
"Kamenice,Olešovice",49.904835,14.590719
"Kamenice,Skuheř",49.90184,14.569604
"Kamenice,Těptín",49.89241,14.564729
"Kamenice,Těptín,U Kozlího kamene",49.89665,14.568374
"Kamenice,U dvora",49.89968,14.581144
"Kamenice,Valnovka",49.89798,14.604149
"Kamenice,Všedobrovice",49.91723,14.610149
"Kamenice,Štiřín",49.916266,14.600864
Kamenická,50.099594,14.428911
Kamenný Přívoz,49.86234,14.504024
"Kamenný Přívoz,Kamenný Újezdec",49.857655,14.518854
"Kamenný Přívoz,U křížku",49.86693,14.503564
"Kamenný Přívoz,žel.st.",49.86002,14.514499
Kamenolom Zbraslav,49.959675,14.394266
Kamýcká,50.130458,14.382252
Kapitána Stránského,50.10342,14.575962
Karenova,50.063385,14.368305
Karlovo náměstí,50.075304,14.418489
Karlovy lázně,50.084571,14.413465
Karlík,49.937125,14.261719
Karlínské náměstí,50.092615,14.445876
Karlštejnská,50.052644,14.359048
Kateřinky,50.020584,14.520182
Kateřinská,50.074338,14.426157
Katovická,50.132113,14.428074
Kavalírka,50.069932,14.370726
Kavkazská,50.069568,14.465632
Kavčí hory,50.049526,14.428938
Kazanka,50.117294,14.42804
Kazín,49.951044,14.340825
Kazínská,50.011666,14.386351
Kačerov,50.041853,14.460197
Kbelská,50.105225,14.532638
Kbelský hřbitov,50.14381,14.546725
Kbely,50.130985,14.551442
Ke Březině,49.994409,14.467641
Ke Hrázi,50.086819,14.576255
Ke Kaménce,50.071508,14.30245
Ke Kateřinkám,50.024943,14.51507
Ke Kazínu,49.956416,14.342334
Ke Klíčovu,50.113345,14.508607
Ke Koulce,50.061649,14.404573
Ke Kříži,50.029781,14.595277
Ke Schodům,50.014184,14.415816
Ke Smrčině,50.017778,14.525189
Ke Stadionu,50.147668,14.524783
Ke Stírce,50.12283,14.456009
Ke Xaverovu,50.099668,14.623799
Kelerka,50.115251,14.489599
Kesnerka,50.057884,14.402066
Khodlova,50.110288,14.604069
Klamovka,50.070782,14.379763
Klecany,50.175569,14.412497
"Klecany,Ahold",50.183728,14.411506
"Klecany,Astrapark",50.183479,14.424089
"Klecany,D8 Park",50.176578,14.447159
"Klecany,Drasty",50.196216,14.399414
"Klecany,Drasty,Čistírna",50.192108,14.396486
"Klecany,Klecánky",50.170801,14.402483
"Klecany,U Hřbitova",50.176884,14.419278
"Klecany,U Kostela",50.17742,14.409865
"Klecany,Zdibsko",50.183218,14.441346
Klikovka,50.057001,14.4306
Kloboučnická,50.060391,14.45015
Klokočná,49.959111,14.720119
Klukovice,50.035912,14.366676
Klučov,50.09156,14.912078
"Klučov,Lstiboř",50.079339,14.905399
"Klučov,Skramníky",50.083598,14.958271
"Klučov,U mlýna",50.094877,14.905404
"Klučov,Žhery",50.08537,14.942938
"Kly,Krausovna",50.30872,14.515334
"Kly,Lom",50.314256,14.51489
"Kly,Vinice",50.321379,14.506176
"Kly,Větrušice",50.30098,14.511006
"Kly,Záboří",50.308339,14.521009
Klánova,50.021359,14.423566
Klánovice,50.098977,14.685684
Klárův ústav,50.028001,14.456941
